Department,Department Name,Division,Gender,Base Salary,2024 Overtime Pay,2024 Longevity Pay,Grade
COR,Correction and Rehabilitation,COR 42 DS Health Services,F,101815.62,56115.6,0,24
HHS,Department of Health and Human Services,HHS 60 School Health Services,M,53047.63,0,0,16
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,135181.7,0,0,N28
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,74978.5,135.18,0,20
PRO,Office of Procurement,PRO 35 Procurement Services Section,F,76402.09,0,0,16
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,85902.92,404.93,0,20
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,M,66621,22950.75,0,C4
LIB,Department of Public Libraries,LIB 71 Aspen Hill Library,M,26886.16,0,0,13
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,82392.21,9234.05,0,15
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,55382.51,1786.71,0,16
COR,Correction and Rehabilitation,COR 42 DS Food Services,F,62293.37,21188.68,0,17
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,24255.62,0,0,10
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,116454.02,0,0,N25
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,119032,0,0,23
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,F,75406.16,6146.14,0,T1
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,65134,5567.89,0,9
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,75406.16,13883.83,0,T1
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,75406.16,10853.45,0,T1
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,65983,4740.57,0,T1
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,F,70417.33,14325.96,0,T1
FRS,Fire and Rescue Services,FRS 45 Fleet Support,F,169440.47,0,0,M3
POL,Department of Police,POL 47 MSB Training and Education Division,F,28289.4,0,0,10
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Enterprise Information Security Office,M,134594.66,0,0,N28
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,41541.43,10152.11,0,12
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,85902.92,743.4,0,20
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,118007.76,0,0,26
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,86485.59,0,0,24
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,98840.68,0,0,24
LIB,Department of Public Libraries,LIB 71 Technology Management,F,103716.97,0,0,N26
DGS,Department of General Services,DGS 36 Fleet Automotive Heavy Equipment,M,62764.26,1493.91,0,16
OAS,Office of Animal Services,OAS 38 Animal Services Division,F,76585.11,2409.62,0,20
REC,Department of Recreation,REC 72 Special Programs,F,80335,963.1,0,14
CCL,County Council,CCL 01 Council Members and Staff,F,103123.17,0,0,N22
POL,Department of Police,POL 47 MSB Personnel Division Administration,F,114028.58,0,0,N25
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,96915.57,0,0,24
POL,Department of Police,POL 47 MSB Personnel Division Administration,M,103662.34,0,0,N23
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,66666.04,0,0,18
DGS,Department of General Services,DGS 36 Fleet Management Services,M,113177.42,0,0,N25
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,98912.17,3090.73,0,24
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,98912.17,0,0,24
DPS,Department of Permitting Services,DPS 75 Information Technology Services,M,97778.95,0,0,N26
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,130181,0,0,N25
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,101452.22,0,0,24
OCP,Office of Consumer Protection,OCP 39 Investigations,M,114750.53,0,0,25
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OPS Radio Communications Services,M,90969.25,0,0,20
FRS,Fire and Rescue Services,FRS 45 Fleet Operations,M,102369.72,33.14,0,20
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,84384.94,0,0,16
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,F,25963.39,495.43,0,12
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,M,24255.62,0,0,10
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,104197,0,0,20
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,91465.65,0,0,23
OAS,Office of Animal Services,OAS 38 Animal Services Division,M,65713.65,87.64,0,14
POL,Department of Police,POL 47 MSB Management and Budget Division,F,103662.34,1603.61,0,23
CCL,County Council,CCL 01 Council Members and Staff,F,94216.15,0,0,N18
DEP,Department of Environmental Protection,DEP 80 Recycling and Refuse Services,F,108899,5621.84,0,21
POL,Department of Police,POL 47 MSB Training and Education Division,M,28289.4,0,0,10
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,53047.63,0,0,16
REC,Department of Recreation,REC 72 Countywide Programs,M,72862.63,210.19,0,21
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,53047.63,0,0,16
DPS,Department of Permitting Services,DPS 75 Land Development Sediment Stormwater Plan Review,F,117968.21,0,0,26
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,136296.85,0,0,N28
DOT,Department of Transportation,DOT 50 Highway Services,M,58496,17799.46,0,15
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Employee Productivity Services,M,147658.3,0,0,N28
HCA,Department of Housing and Community Affairs,HCA 76 Community Development,M,192133.93,0,0,M2
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,24255.62,0,0,10
DOT,Department of Transportation,DOT 50 Highway Services,M,58496,16775.31,0,15
DOT,Department of Transportation,DOT 50 Highway Services,M,58496,10598.66,0,15
ABS,Alcohol Beverage Services,ABS 85 Poolesville,F,25963.39,18.67,0,12
OCP,Office of Consumer Protection,OCP 39 Operations,F,84102.73,0,0,N18
POL,Department of Police,POL 47 MSB Information Management and Technology Division,M,166633.23,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,87523,0,0,16
DOT,Department of Transportation,DOT 50 Parking Management Financial Management,F,97778.95,0,0,21
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,69040.67,468.29,0,19
CEC,Community Engagement Cluster,CEC 16 Community Partnerships,F,94216.14,0,0,N23
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,F,25963.39,45.18,0,12
DOT,Department of Transportation,DOT 50 Highway Services,M,58496,9072.6,0,15
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,91128.38,294.96,0,20
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,F,55713,1791.72,0,C5
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Low Code Governance and Administration,M,149112,0,0,N28
COR,Correction and Rehabilitation,COR 42 DS Health Services,F,159533.39,0,0,M2
POL,Department of Police,POL 47 FSB Security Services Division,M,69190.81,18108.65,0,15
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,24255.62,0,0,10
POL,Department of Police,POL 47 MSB Information Management and Technology Division Crime Analysis Section,F,88240.27,0,0,20
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,53362.34,1193.53,0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,53772.31,4885.4,0,12
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,F,70418,13157.02,0,T1
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,75406,6756.64,0,T1
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,75406,18381.04,0,T1
POL,Department of Police,POL 47 MSB Information Management and Technology Division,F,88278.13,0,0,N21
POL,Department of Police,POL 47 MSB Management and Budget Division Vehicle Recovery Section,M,63658.37,6775.62,0,16
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,48511.23,3012.62,0,10
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,103153.97,0,0,24
DGS,Department of General Services,DGS 36 Central Duplicating,M,74897.75,8855.66,0,15
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,95458,1881.65,0,18
HHS,Department of Health and Human Services,HHS 60 Office of Community Affairs Division,F,107279.78,0,0,N25
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,25963.39,1016.21,0,12
REC,Department of Recreation,REC 72 Aquatic Team Management,M,67845.17,1258.82,0,21
LIB,Department of Public Libraries,LIB 71 Quince Orchard Library,F,102620.41,0,0,N25
CEC,Community Engagement Cluster,CEC 16 Community Partnerships,F,94809.94,0,0,23
COR,Correction and Rehabilitation,COR 42 DS Health Services,F,97047.38,19904.99,0,24
LIB,Department of Public Libraries,LIB 71 White Oak Library,M,23574.53,0,0,8
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,101452.21,546.5,0,24
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,88871.92,0,0,18
REC,Department of Recreation,REC 72 Aquatic Team Management,M,69706.28,419.64,0,18
DOT,Department of Transportation,DOT 50 Commuter Services,M,78975.2,4694.71,0,21
CCL,County Council,CCL 01 Council Members and Staff,F,167172.18,0,0,
CCL,County Council,CCL 01 Council Members and Staff,F,167172.18,0,0,
CCL,County Council,CCL 01 Council Members and Staff,F,167172.18,0,0,
CCL,County Council,CCL 01 Council Members and Staff,F,167172.18,0,0,
CCL,County Council,CCL 01 Council Members and Staff,F,183889.4,0,0,
CCL,County Council,CCL 01 Council Members and Staff,M,95458,0,0,N18
CCL,County Council,CCL 01 Council Members and Staff,M,95458,0,0,N18
CCL,County Council,CCL 01 Council Members and Staff,M,94216.15,0,0,N18
CCL,County Council,CCL 01 Council Members and Staff,M,63406.07,0,0,N26
CCL,County Council,CCL 01 Council Members and Staff,M,100154.17,0,0,N26
CCL,County Council,CCL 01 Council Members and Staff,F,128062.99,0,0,LB3
CCL,County Council,CCL 01 Council Members and Staff,F,135000,0,0,LB3
LIB,Department of Public Libraries,LIB 71 Damascus Library,F,22260.4,0,0,8
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,53047.63,0,0,16
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,53047.63,0,0,16
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,53047.63,0,0,16
CCL,County Council,CCL 01 Council Members and Staff,M,76129.82,0,0,N26
CCL,County Council,CCL 01 Council Members and Staff,F,167172.18,0,0,
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,50171.02,6356.02,0,12
FRS,Fire and Rescue Services,FRS 45 Station 25,M,67656,532.12,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 4,M,67656,1061.58,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 23,M,67656,1147.74,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 14,M,67656,14447.91,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 1,F,67656,12005.75,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 1,M,67656,411.82,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 25,M,67656,2143.52,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 25,M,67656,22937.83,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 23,M,67656,1977.94,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 18,M,67656,6335.73,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 3,M,67656,11073.99,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 12,M,67656,37274.28,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 30,M,67656,3741.69,0,F2
FRS,Fire and Rescue Services,FRS 45 Field Recruits,M,58113,0,0,F3
FRS,Fire and Rescue Services,FRS 45 Station 10,M,67656,9983.26,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 13,M,67656,11051.69,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 25,M,67656,3631.35,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 32,M,67656,12722.5,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 4,M,67656,2768.38,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 31,M,67656,12259.29,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 21,M,67656,15703.64,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 23,M,67656,9236.79,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 2,M,67656,14547.94,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 29,M,67656,432.12,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 32,M,67656,3771.25,0,F2
FIN,Department of Finance,FIN 32 Financial Analysis Audit and Compliance,M,130181,0,0,N25
REC,Department of Recreation,REC 72 Countywide Programs,F,89465.73,417.58,0,21
CAT,County Attorney's Office,CAT 30 County Attorney's Office,F,74026.88,0,0,N15
HHS,Department of Health and Human Services,HHS 60 Office of Community Affairs Division,F,159380.23,0,0,M3
REC,Department of Recreation,REC 72 Facilities Division,M,69960.44,0,0,18
CAT,County Attorney's Office,"CAT 30 Zoning, Land Use and Economic Development",F,142495,0,0,N27
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,129844.24,0,0,N26
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,130181,0,0,N25
ABS,Alcohol Beverage Services,ABS 85 Retail Administration,F,119032,0,0,23
LIB,Department of Public Libraries,LIB 71 Brigadier General Charles E. McGee Library,F,73379.65,0,0,21
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,M,24255.62,0,0,10
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,95458,0,0,18
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,24255.62,0,0,10
ABS,Alcohol Beverage Services,ABS 85 Administration,F,82073.81,4180.44,0,18
COR,Correction and Rehabilitation,COR 42 DS Detention Services,M,178541.27,0,0,M2
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,24255.62,50.71,0,10
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,130181,0,0,N25
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Project Management,F,194980,0,0,M2
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 2 Security,M,66621,20281.43,0,C4
POL,Department of Police,POL 47 PSB 4th District Patrol,F,80511,10820.69,0,P3
FIN,Department of Finance,FIN 32 Division of Fiscal Management,M,131031.85,0,0,N28
CCL,County Council,CCL 01 Council Central Staff,F,88278.13,0,0,N21
POL,Department of Police,POL 47 MSB Training and Education Division,F,85292.53,0,0,N21
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,98840.66,0,0,24
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,103859.41,0,0,24
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,106764.35,0,0,24
POL,Department of Police,POL 47 PSB 3rd District Patrol,M,80511,39774.15,0,P3
ABS,Alcohol Beverage Services,ABS 85 Retail Administration,M,116701.39,0,0,23
OHR,Office of Human Resources,OHR 33 Occupational Medical Services Team,M,95017.78,0,0,N21
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,68578.42,0,0,18
REC,Department of Recreation,REC 72 Countywide Programs,M,112597.55,399.78,0,N23
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,98840.66,0,0,24
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,M,100154.16,194.51,0,N21
FRS,Fire and Rescue Services,FRS 45 Field Operations Administration,M,67656,5303.33,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 16,M,67656,269.68,0,F2
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,217451,0,0,
FRS,Fire and Rescue Services,FRS 45 Station 31,M,67656,4756.66,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 18,M,67656,11183.11,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 29,M,67656,1853.73,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 1,M,67656,8205.3,0,F2
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,62764.26,4469.41,0,16
DEP,Department of Environmental Protection,DEP 80 Building and Transportation Programs,F,95403.75,0,0,23
HCA,Department of Housing and Community Affairs,HCA 76 Multi-Family Housing Program,M,130181,0,0,25
NDA,Non-Departmental Account,NDA 99 MCERP,M,103662.33,0,0,N23
LIB,Department of Public Libraries,LIB 71 Connie Morella Library,F,108739.35,0,0,N25
POL,Department of Police,POL 47 FSB Security Services Division,M,65238.62,13735.66,0,15
REC,Department of Recreation,REC 72 Facilities Division,M,75747.79,0,0,18
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,97875.16,0,0,24
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 2 Security,F,64592,32691.38,0,C4
FRS,Fire and Rescue Services,FRS 45 Procurement,F,164490.95,0,0,M3
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,149112,0,0,N28
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,95458,0,0,18
FIN,Department of Finance,FIN 32 General Accounting,M,136188,0,0,N26
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 3 Security,M,66621,25779.84,0,C4
FRS,Fire and Rescue Services,FRS 45 Station 23,M,67656,4896.66,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 12,M,67656,8986.64,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 12,M,67656,0,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 32,M,67656,7149.6,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 32,M,67656,10181.49,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 4,M,67656,7886.32,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 21,M,67656,16777.16,0,F2
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,M,68081.23,0,0,18
FRS,Fire and Rescue Services,FRS 45 Station 26,M,67656,22136.4,0,F2
FRS,Fire and Rescue Services,FRS 45 Field Recruits,M,67656,10772.8,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 21,F,67656,32190,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 25,M,65367,759.1,0,F3
FRS,Fire and Rescue Services,FRS 45 Station 21,M,67656,647.92,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 2,M,67656,15846.63,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 35,M,67656,6154.76,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 17,M,67656,3204.39,0,F2
DHS,Office of Emergency Management and Homeland Security,DHS 49 Director's Office,M,217359,0,0,M1
FRS,Fire and Rescue Services,FRS 45 Station 21,M,67656,2861.47,0,F2
REC,Department of Recreation,REC 72 Facilities Division,M,73374.56,0,0,18
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,101751.8,0,0,24
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,98021.46,0,0,24
HCA,Department of Housing and Community Affairs,HCA 76 Affordable Housing Programs,F,114405.4,0,0,25
HRC,Office of Human Rights,HRC 46 Compliance,M,92751.25,0,0,20
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,72245.47,0,0,18
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,97573.29,0,0,23
CAT,County Attorney's Office,CAT 30 Insurance Defense Litigation,F,152408.71,0,0,N32
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,88770.7,0,0,24
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,84715.32,2503.29,0,20
CEX,Offices of the County Executive,CEX 15 Chief Administrative Officer's Office,M,83539.59,0,0,N18
CCL,County Council,CCL 01 Council Members and Staff,F,88278.13,0,0,N18
CCL,County Council,CCL 01 Council Members and Staff,F,77194.22,0,0,N18
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,80281.52,160.59,0,N17
CCL,County Council,CCL 01 Council Members and Staff,M,144769.22,0,0,LB3
DEP,Department of Environmental Protection,DEP 80 Administration and Operations,F,117968.21,0,0,N23
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,87127.56,0,0,16
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,111650.53,933.56,0,24
CCL,County Council,CCL 01 Council Members and Staff,F,95458,0,0,N18
CCL,County Council,CCL 01 Council Members and Staff,F,77510.48,0,0,N16
POL,Department of Police,POL 47 MSB Information Management and Technology Division Crime Analysis Section,M,90534.57,0,0,20
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,65119.86,0,0,13
REC,Department of Recreation,REC 72 Youth Development Youth Services,F,89465.73,509.97,0,21
CEC,Community Engagement Cluster,CEC 16 Community Partnerships,F,103662.33,0,0,23
CCL,County Council,CCL 01 Council Members and Staff,M,91840.95,0,0,N18
HCA,Department of Housing and Community Affairs,HCA 76 Director,M,220000,0,0,EX1
FRS,Fire and Rescue Services,FRS 45 Station 12,M,67656,15040.15,0,F2
SHF,Sheriff's Office,SHF 48 Administration,M,180619.12,0,0,
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,93638.23,0,0,24
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,94329.56,0,0,24
LIB,Department of Public Libraries,LIB 71 Materials Delivery,M,62344.01,0,0,12
DOT,Department of Transportation,DOT 50 Transportation Planning and Design Section,M,123158.49,0,0,25
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,121966.89,0,0,24
OHR,Office of Human Resources,OHR 33 Talent Acquisition & Management,M,83554,0,0,N25
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,M,65212.62,282.18,0,13
DGS,Department of General Services,DGS 36 Central Duplicating,M,60869.55,189.04,0,11
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,93638.23,0,0,24
POL,Department of Police,POL 47 MSB Communications Division,F,67501.51,13089.76,0,19
POL,Department of Police,POL 47 MSB Communications Division,M,67501.51,8243.4,0,19
DGS,Department of General Services,DGS 36 Facilities Maintenance,M,95458,32540.29,0,18
CCL,County Council,CCL 01 Council Members and Staff,F,94216.15,0,0,N22
REC,Department of Recreation,REC 72 Facilities Division,M,79344.53,0,0,21
SHF,Sheriff's Office,SHF 48 Administration,M,64048,4160.53,0,G1
POL,Department of Police,POL 47 MSB Training and Education Division,F,28289.4,0,0,10
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,65983.48,38619.93,0,T1
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,65983.48,25545.73,0,T1
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,23435.38,0,0,10
HCA,Department of Housing and Community Affairs,HCA 76 Housing Landlord and Tenant Mediation,F,102504.51,0,0,23
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,75602.4,0,0,13
REC,Department of Recreation,REC 72 Facilities Division,F,73459.89,0,0,18
DOT,Department of Transportation,DOT 50 Traffic Engineering Studies Section,F,138075.24,0,0,N28
DPS,Department of Permitting Services,DPS 75 Fire Code Compliance,M,100209.63,0,0,24
CCL,County Council,CCL 01 Council Members and Staff,F,95458,0,0,N18
LIB,Department of Public Libraries,LIB 71 Public Service Administration,M,136927.8,0,0,N28
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,23435.38,0,0,10
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,77087.93,154.95,0,16
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,68780.36,1423.98,0,16
DPS,Department of Permitting Services,DPS 75 Commercial Electrical and FPS Inspections,M,97914.74,0,0,21
CEC,Community Engagement Cluster,CEC 16 Community Partnerships,M,124305.93,0,0,N28
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,M,64592,23510.31,0,C4
HCA,Department of Housing and Community Affairs,HCA 76 Housing Code Enforcement,F,78293.42,0,0,19
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,94329.57,0,0,24
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,M,66621,18790.64,0,C4
LIB,Department of Public Libraries,LIB 71 Public Service Administration,M,96767.3,0,0,23
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,95498.22,0,0,24
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,95498.22,0,0,24
CCL,County Council,CCL 01 Council Central Staff,M,79555.65,0,0,N17
DEP,Department of Environmental Protection,DEP 80 Recycling and Refuse Services,M,105464.92,14242.06,0,21
LIB,Department of Public Libraries,LIB 71 Connie Morella Library,F,76113.33,0,0,18
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,75539.61,1102.96,0,20
OAG,Office of Agriculture,OAG 78 Agricultural Services,F,85292.87,0,0,N23
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,65983.48,27721.04,0,T1
DPS,Department of Permitting Services,DPS 75 Director,M,222000,0,0,EX1
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,61196.57,0,0,16
PRO,Office of Procurement,"PRO 35 Living Wage, Prevailing Wage and Equal Benefits",M,117191.79,0,0,25
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,91068.39,0,0,24
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311 Call Center,F,56606.79,326.58,0,13
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,86996.08,0,0,24
DOT,Department of Transportation,DOT 50 Highway Services,M,56003.43,15307.53,0,15
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,M,23435.38,0,0,10
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,23435.38,0,0,10
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,M,23435.38,0,0,10
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,84210.92,952.96,0,16
HHS,Department of Health and Human Services,HHS 60 Office of Community Affairs Division,M,71523.55,0,0,18
CEC,Community Engagement Cluster,CEC 16 Community Partnerships,M,123158.49,0,0,N28
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,98021.46,0,0,24
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311 Call Center,F,76986,25.8,0,13
DPS,Department of Permitting Services,DPS 75 Land Development Right-of-Way Plan Review,F,136188,0,0,26
CCL,County Council,CCL 01 Council Central Staff,F,89882.64,0,0,N17
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,92751.25,0,0,18
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,M,23435.38,0,0,10
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,65461.21,482.46,0,17
HCA,Department of Housing and Community Affairs,HCA 76 Common Ownership Community Program,M,99062.19,0,0,25
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 3 Security,M,61018,944.41,0,C5
OFR,Office of Food Systems Resilience,OFR 28 Food Systems Resilience,F,166415.55,0,0,M2
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,80935.23,0,0,18
LIB,Department of Public Libraries,LIB 71 Technology Management,M,103919.65,0,0,26
REC,Department of Recreation,REC 72 Countywide Programs,M,91522.22,643.79,0,21
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,50171.11,3897.94,0,12
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Fibernet Operations (GF),M,131190.59,0,0,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311 Call Center,M,68310.71,94.29,0,13
